Symbol	Japanese
FINDING_OPPONENT_CANCELLED	検索をキャンセルしました
PLAYER_JOINED	プレイヤー {0} が参加しました
PLAYER_LEFT	プレイヤー {0} が離脱しました
PLAYER_READY	プレイヤー {0} の準備が完了しました
PLAYER_UNREADY	プレイヤー {0} は準備中です
PLAYER_CHANGED_TEAM_COLOUR	プレイヤー {0} がチームカラーを変更しました
MATCH_SETTINGS	マッチの設定
ALLOW_COMMANDER_TRAITS	コマンダー特性
ALLOW_COMMANDER_POWERS	コマンダースキル
ALLOW_COMMANDER_UNITS	コマンダーユニット
VICTORY_CONDITIONS	勝利条件
INITIAL_SP	初期SP
SP_INCOME	精製所SP
INCOME_PER_TURN	ターン毎の供給量
TURN_TIME_LIMIT	ターンの制限時間
NONE	なし
VICTORY_CONDITION_ALL_UNITS	ユニット
VICTORY_CONDITION_ALL_UNITS_OR_ALL_OUPOSTS	ユニットまたは前哨基地
VICTORY_CONDITION_ALL_OUTPOSTS	前哨基地
YES	はい
NO	いいえ
OK	OK
NOTICE	注意
ERROR	エラー
CONNECTING_TO_MASTER_SERVER	マスターサーバーへ接続
CONNECTING_TO_MASTER_SERVER_ERROR	マスターサーバーへの接続に失敗しました。\nネットワーク環境を確認し、再試行してください。
ERROR_FAILED_TO_HOST	ゲームを作成できませんでした。後ほど再試行してください。
ERROR_FAILED_TO_JOIN	ゲームへの参加に失敗しました。\n入力したコードが正しいかどうかを確認してください。
ERROR_SAVE_CORRUPTED	セーブデータが破損しているため、ロードできません。
ERROR_SAVE_INSUFFICIENT_SPACE	セーブデータを保存できません。空き容量が不足しています。
SAVE_PLAYER_PROFILE	プレイヤープロフィール
SAVE_SAVE_DATA	セーブデータ
PRIVATE_MATCH	プライベートゲーム
PLAYERS	プレイヤー
WINS	勝利
LOSSES	敗退
SP	SP
CP	CP
STRATEGY_POINTS	戦略ポイント(SP)
COMMANDER_POWER	コマンダーパワー(CP)
MIN	MIN
MAX	MAX
AVAILABLE_SP	使用可能SP
AVAILABLE_CP	使用可能CP
ZOOM_IN	ズームイン
ZOOM_OUT	ズームアウト
PAUSED	ポーズ
RESUME	戻る
SETTINGS	設定
SURRENDER	降伏
RESTART	リスタート
RESTART_FROM_CHECKPOINT_SAVE	チェックポイントからリスタート
INTERIM_SAVE	中断セーブ
SAVE_CHECKPOINT	チェックポイントのセーブ
END_TURN	ターン終了
READY_AGAIN_IN_NUM_TURN	残り<color={0}>{1}ターン</color>
READY_AGAIN_IN_NUM_TURNS	残り<color={0}>{1}ターン</color>
VICTORY	勝利
DEFEAT	敗北
NEXT	次へ
MISSION_COMPLETE	MISSION COMPLETE
MISSION_FAILED	MISSION FAILED
COMPLETE	完了
MISSION_BRIEFING	MISSION BRIEFING
LOCATION	配置
ENEMY_FORCES	敵軍
CURRENT_OBJECTIVE	作戦目標
CURRENT_OBJECTIVE_UPPER	作戦目標
VICTORY_CONDITIONS_UPPER	勝利条件
DEFEAT_CONDITION_UPPER	敗北条件
DEFEAT_CONDITION	敗北条件
OBJECTIVE_OUTPOSTS_VICTORY_CONDITION	敵の前哨基地をすべて占領する。
OBJECTIVE_OUTPOSTS_DEFEAT_CONDITION	味方の前哨基地をすべて奪われる。
OBJECTIVE_ALL_UNITS_VICTORY_CONDITION	敵ユニットをすべて撃破する。
OBJECTIVE_ALL_UNITS_DEFEAT_CONDITION	味方ユニットの全滅。
OBJECTIVE_ALL_UNITS_OR_OUTPOSTS_VICTORY_CONDITION	敵の前哨基地をすべて占領、\nまたは敵ユニットをすべて撃破する。
OBJECTIVE_ALL_UNITS_OR_OUTPOSTS_DEFEAT_CONDITION	味方の前哨基地をすべて奪われる、\nまたは味方ユニットの全滅。
OBJECTIVE_ALL_UNITS_OR_REFINERIES_DEFEAT_CONDITION	エイオナイト精製所をすべて奪われる、\nまたは味方ユニットの全滅。
OBJECTIVE_ALL_CAPTURE_CAPABLE_UNITS_DEFEAT_CONDITION	占領スキルを持つ味方ユニットの全滅。
RESULTS_TOTAL_TURNS	合計ターン数:
RESULTS_UNITS_DEPLOYED	配備したユニット:
RESULTS_UNITS_LOST	失ったユニット:
RESULTS_ENEMY_UNITS_DESTROYED	撃破した敵ユニット:
NEW_COMMANDER_TRAIT_ACQUIRED	新たなコマンダー特性\n"{0}"\nを獲得！
NEW_DATA_ENTRY_UNLOCKED	新データ\n"{0}"\nがアンロックされた！
UNLOCKED	アンロック
UNLOCKED_EXCLAMATION	アンロックされた！
FINALE_MISSION_UNLOCKED	{0}のフィナーレミッションに進めるようになった！
COMMANDER_SELECTION	コマンダーの選択
SKILL	スキル
SKILLS	スキル
HELP	ヘルプ
HELP_SELECT_DESTINATION	移動先の指定
HELP_SELECT_TARGET	ターゲットの指定
HELP_CHOOSE_REINFORCEMENT_TO_DEPLOY	強化先の指定
HELP_SELECT_DEPLOYMENT_LOCATION	配備先の指定
ALL_UNIT_AND_DEPLOYMENT_ACTIONS_COMPLETE_END_TURN	すべてのユニットと前哨基地が行動しました。\n\nターンを終了しますか？
NOT_APPLICABLE	N/A
COMMANDER	コマンダー
LUELLA_AUGSTEIN	ルエラ・アウグシュタイン
IZOL_LOKMAN	イゾル・ルクマーン
VINCENT_UVIIR	ヴィンセント・ユヴィール
AURIELLE_KRUKOV	オーリエル・クルコフ
LYSANDER_OSWELL	ライサンダー・オズウェル
CERVANTES_MORAY	セルバンテス・モレイ
JAYE_IRVINE	ジェイ・アーヴィン
SAMUEL_MATTHEWS	サミュエル・マシューズ
ALEXANDRA_LAWSON	アレクサンドラ・ローソン
ISAAC_KRUKOV	アイザック・クルコフ
LUELLA	ルエラ
IZOL	イゾル
VINCENT	ヴィンセント
AURIELLE	オーリエル
LYSANDER	ライサンダー
CERVANTES	セルバンテス
SAM	サム
JAYE	ジェイ
ALEXANDRA	アレクサンドラ
ISAAC	アイザック
HIDDEN_COMMANDER	??????
NOMAD_FORCES	NOMAD軍
CERULIA_FORCES	セルリア軍
NETHALIS_FORCES	ネサリス軍
KRUKOV_FORCES	クルコフ軍
PIRATE	海賊
NOMAD_SOLDIER	NOMAD兵
NOMAD_OFFICER	NOMAD士官
CERULIAN_SOLDIER	セルリア兵
CERULIAN_OFFICER	セルリア士官
NETHALIS_SOLDIER	ネサリス兵
NETHALIS_OFFICER	ネサリス士官
KRUKOV_SOLDIER	クルコフ兵
KRUKOV_OFFICER	クルコフ士官
KRUKOV_MINER	クルコフ採掘士
ARISTOCRACY_OF_CERULIA	セルリア貴族
REPUBLIC_OF_NETHALIS	ネサリス共和同盟
NOMAD_MERCENARY_GROUP	NOMAD傭兵団
KRUKOV_MINING_CORP	クルコフ鉱業
SHADOW_WOLVES	シャドーウルヴス
LYSANDERS_LOYALISTS	ライサンダー親衛隊
CERULIA	セルリア
NETHALIS	ネサリス
NOMAD	NOMAD
KRUKOV	クルコフ鉱業社
PIRATES	海賊
LOYALISTS	親衛隊
INDEPENDENT_ZONES	独立\nゾーン
MINING_BELTS	採掘用\n小惑星帯
ALLIED_UNIT	自軍ユニット
ENEMY_UNIT	敵軍ユニット
ALLIED_STRUCTURE	自軍基地
ENEMY_STRUCTURE	敵軍基地
COMMAND	命令
INSPECT	調査
DEFENCE	防御値
HP	HP
MAX_HP	MAX HP
TECH_LV	Tech Lv.
TYPE	タイプ
KINETIC	物理
ENERGY	エネルギー
EXPLOSIVE	爆発
DAMAGE	ダメージ
REPAIR	リペア
KINETIC_SHORT	物
ENERGY_SHORT	EN
EXPLOSIVE_SHORT	爆
DAMAGE_SHORT	DMG
WEAK_DEFENCE_CHAR	C
NORMAL_DEFENCE_CHAR	B
STRONG_DEFENCE_CHAR	A
HITS	ヒット
INFLICTS	付与する
STATUS	状態
PROVIDES	供給
BESTOWS	付与する
SELF	セルフ
TARGET	ターゲット
COOLDOWN	クールダウン
CRITICAL	クリティカル
DAMAGE_LIGHT	軽度の
DAMAGE_MEDIUM	中程度の
DAMAGE_HEAVY	重度の
DAMAGE_EXTREME	極度の
INSUFFICIENT_SP	SPが足りません
INSUFFICIENT_CP	CPバーがフルの状態でのみ使用可能
HAS_MOVED	移動済
HAS_USED_SKILL	スキル使用済
REQUIRES_MAX_CP	CP Max状態が必要
DEPLOYMENT_OPTIONS	配備オプション
UNIT_OVERVIEW	ユニット概要
UNIT	ユニット
UNITS	ユニット
MAXIMUM_HP	最大HP
MOVEMENT	移動力
DEPLOY	配備
PLAYER_TURN	PLAYER TURN
ENEMY_TURN	ENEMY TURN
PLAYER_TURN_LOWER	Player Turn
ENEMY_TURN_LOWER	Enemy Turn
PLAYER_TURN_SUB	GO GET'EM!
ENEMY_TURN_SUB	HANG TOUGH!
TERRAIN	地形
STRUCTURE	施設
STRUCTURES	施設群
EIONITE_REFINERY	エイオナイト精製所
OUTPOST	前哨基地
CAPTURED	占領
OVERRIDING	オーバーライド
NEUTRALISED	中立化
LOST	損失
OVERRIDE_ABORTED	オーバーライド中断
ABORTING	中断
NEUTRAL	中立
COVER	カバー効果
IMPASSABLE	通行不可
CAPTURABLE	占領可
STATUS_EFFECT	ステータス効果
STATUS_EFFECTS	ステータス効果
NO_EFFECT	なし
STATUS_ADDED	ステータス追加
STATUS_REMOVED	ステータス解除
DEBUFF	デバフ
NEGATIVE_STATUSES	ネガティブ・ステータス
IMMOBILISED	移動不能
IMMOBILISED_DESC	ターゲットが移動できなくなる。
JAMMING	ジャミング
JAMMING_DESC	ターゲットがスキルを使用できなくなる。
VIRUS	ウィルス
VIRUS_DESC	ターゲットは自身のターン開始時、一定のHPを失う。
WEAKENED	弱体化
WEAKENED_DESC	ターゲットの攻撃スキルで与えるダメージが{0}%減少する。
ARMOUR_DOWN	アーマーダウン
ARMOUR_DOWN_DESC	ターゲットの物理、エネルギー、爆発の防御値が{0}減少する。
BUFF	バフ
POSITIVE_STATUSES	ポジティブ・ステータス
AIM_ASSISTED	エイムアシスト
AIM_ASSISTED_DESC	ターゲットの攻撃スキルのクリティカル確率が{0}%上昇する。
AUTOREPAIR	オートリペア
AUTOREPAIR_DESC	ターゲットは自身のターン開始時に一定のHPを回復する。
OVERCHARGED	オーバーチャージ
OVERCHARGED_DESC	ターゲットの攻撃スキルで与えるダメージが{0}%上昇する。
ARMOUR_UP	アーマーアップ
ARMOUR_UP_DESC	対象の物理、エネルギー、爆発の防御値が{0}上昇する。
ACTIVE	アクティブ
DEPLOYED_UPPER	配備済み
REPAIRING	{0}ターン後にリペア完了
LUELLA_COMMANDER_SPECIALITY	長距離戦闘
LUELLA_COMMANDER_POWER_NAME	DUSKオーバードライブ
LUELLA_COMMANDER_POWER_DESC	DUSKオーバードライブが有効な間、射程2以上の味方スキルの最大射程が{0}上昇する。すべての味方の攻撃スキルの基礎クリティカルヒット率も{1}%に上昇する。
VINCENT_COMMANDER_SPECIALITY	CQC(Close Quarters Combat)
VINCENT_COMMANDER_POWER_NAME	マキシマム・アウトプット
VINCENT_COMMANDER_POWER_DESC	マキシマム・アウトプットが有効な間、すべての味方ユニットの移動範囲が{0}上昇し、味方の射程1のエネルギー攻撃スキルが{1}%のダメージを与える。
IZOL_COMMANDER_SPECIALITY	防衛戦闘
IZOL_COMMANDER_POWER_NAME	ファランクス
IZOL_COMMANDER_POWER_DESC	ファランクスが有効な間、味方ユニットの攻撃ダメージは、攻撃者自身に隣接する味方ユニットごとに{0}%上昇する。
AURIELLE_COMMANDER_SPECIALITY	修理および戦闘支援
AURIELLE_COMMANDER_POWER_NAME	重工業の威力
AURIELLE_COMMANDER_POWER_DESC	重工業の威力が有効な間、味方ユニットを修復するスキルの効果が{0}%上昇し、また対象に自動修復を与える効果を持つ。
LYSANDER_COMMANDER_POWER_NAME	アクシオム・システム
LYSANDER_COMMANDER_POWER_DESC	アクシオム・システムが有効な間、すべての味方ユニットの移動範囲が{0}上昇し、射程2以上の味方スキルの最大射程が{1}上昇する。さらにすべての味方ユニットの攻撃ダメージが{2}%上昇する。
CERVANTES_COMMANDER_POWER_NAME	海賊の災い
CERVANTES_COMMANDER_POWER_DESC	海賊の災いが有効な間、ステータス付与を持たない味方攻撃スキルは、ウィルスを付与する効果を持つ。
NO_TRAITS	このコマンダーには特性がありません。
NO_DATA_ON_RECORD	データがありません。
ALL_UNITS	全ユニット
MOVE	移動
CANCEL_MOVE	移動をキャンセル
WAIT	待機
MOVE_DESC	{0}タイルまで移動します。
DEPLOY_DESC	予備のユニットを配備します。
CAPTURE_STRUCTURE	占領
OVERRIDE_STRUCTURE	オーバーライド
CAPTURE_STRUCTURE_DESC	ユニットと同じタイルにある、中立またはオーバーライドされた施設を占領する。
OVERRIDE_STRUCTURE_DESC	次のターンに味方ユニットが占領できるよう、敵施設をオーバーライドする。
UNABLE_TO_MOVE	移動不可地形
MOVE_INFO	ユニットを移動させます。
WAIT_INFO	ユニットを待機させ、このターンの行動を終了します。
COMMANDER_SYSTEM_MENU_INFO	ポーズメニューを開きます。
COMMANDER_INFO	コマンダー情報
VIEW_COMMANDER_INFO	コマンダーのスキルや特性の情報を表示します。
COMMANDER_POWER_INFO	CPバーがフルになると、CPを使用して\nコマンダースキル "{0}" を発動できます。
HELP_INFO	ヘルプを表示します。
INTEL_INFO	ミッションの目標とヘルプ情報を表示します。
END_TURN_INFO	現在のターンを終了します。
HAVOK_RIFLE	ハボック・ライフル
GRENADE_LAUNCHER	グレネード・ランチャー
NOVUS_CANNON	ノーヴァス・ヘビー・キャノン
DISINTEGRATE_ARMOUR	アーマー分解
MINE_LAUNCHER	マイン・ランチャー
EXCAVATOR_ROCKETS	掘削ロケット
PROXIMITY_MINE	近接信管地雷
REPAIR_TOOL	リペア・ツール
ENHANCE_ARMOUR	アーマー強化
OVERCHARGE_REACTOR	オーバーチャージ・リアクター
FARSIDE_ARTILLERY	ファーサイド専用重火砲
BEAM_CANNONS	ビーム・キャノン
SHOCK_MAGNUM	ショック・マグナム
HACK_VIRUS	ハック: ウィルス
HACK_JAMMING	ハック: ジャミング
SABOTEUR_BLADES	サボタージュ・ブレード
SCOUT_RIFLES	スカウト・ライフル
SCAN	スキャン
BARRIER	バリア
FOCUSED_FIRE	集中砲火
SUPPRESSING_FIRE	制圧射撃
MICRO_MISSILES	マイクロ・ミサイル
HYPERVELOCITY_SNIPER_RIFLE	高速狙撃ライフル
CLOAKING	クローキング
TARGET_SERVOS	ターゲット: サーボ
TARGET_OPTICS	ターゲット: 光学系
TARGETING_LINK	ターゲティング・リンク
ENERGY_SABER	エネルギー・セイバー
PIERCING_STRIKE	ピアッシング・ストライク
OVERCHARGE	オーバーチャージ
JUDGEMENT_CANNON	ジャッジメント・キャノン
MEDIATOR_MISSILES	メディエーター・ミサイル
DREAD_SABER	ドレッド・セイバー
SHOCKWAVE_SLASH	ショックウェーブ・スラッシュ
HEX_LAUNCHER	HEXランチャー
NANITE_REPAIR_DRONES	ナノリペア・ドローン
PRECISION_RAIL_RIFLE	高精度レール・ライフル
TWIN_ENERGY_CANNONS	ツイン・エネルギー・キャノン
IGNORES_LOS_AND_COVER	射線は不要。地形のカバー効果を無視する。
IGNORES_LOS	射線は不要。
IGNORES_COVER	地形のカバー効果を無視する。
SKILL_DESC_TURN	ターン
SKILL_DESC_TURNS	ターン
SKILL_DESC_STATUS_CHANGE	{1}を{2} {3}{0} 。
SKILL_DESC_AND_REPAIRS	修理を含む
SKILL_DESC_REPAIRS	修理
SKILL_DESC_AND_DEALS_DAMAGE	更に{0}{1}ダメージを与える。
SKILL_DESC_DEALS_DAMAGE	{0}{1}ダメージを与える。
SKILL_DESC_ON	この
SKILL_DESC_TO	この
SKILL_DESC_TARGET	ターゲット
SKILL_DESC_TARGETS	ターゲット
SKILL_DESC_THE_USER	ターゲットは自分自身。
SKILL_DESC_A_SINGLE_TARGET	ターゲットは単体。
SKILL_DESC_A_SINGLE_ALLY	ターゲットは味方単体。
SKILL_DESC_MULTIPLE_TARGETS	ターゲットは複数。
SKILL_DESC_MULTIPLE_ALLIES	ターゲットは味方複数。
SKILL_DESC_REMOVES_BUFF_AND_DEBUFF	また、{2}の<color={0}>バフ</color>と<color={1}>デバフ</color>を解除する。
SKILL_DESC_REMOVES_BUFF	また、{1}の<color={0}>バフ</color>を解除する。
SKILL_DESC_REMOVES_DEBUFF	また、{1}の<color={0}>デバフ</color>を解除する。
PROXIMITY_MINE_DESC	クローキング地雷を敷設する。この地雷は敵が同じタイルに留まると爆発する。
SCAN_DESC	周囲のタイルをスキャンし、地雷の位置を明らかにする。位置の判明した敵地雷は爆発する。
CLOAKING_DESC	短時間、使用者を敵から見えなくする。
REQUIRES_NO_MOVE_DESC	同じターンの移動後には使用できない。
VARIABLE_ARMOUR	ヴァリアブルアーマー
HAVOK	ハボック
NOVUS	ノーヴァス
PROSPECT	プロスペクト
AEGIS	イージス
FARSIDE	ファーサイド
INVADER	インベーダー
PATHFINDER	パスファインダー
SERPENS	サーペンス
INSIGHT	インサイト
VANGUARD	ヴァンガード
ARBITER	アービター
MAELSTROM	メイルストロム
DEITY	ディアティ
BULWARK	ブルワーク
HAVOK_DESC	コスト効率と多用途性。ハボックは建造物の占領も可能な、オールラウンドなヴァリアブルアーマーである。
NOVUS_DESC	敵の装甲を減耗させられるノーヴァスは、防御値の高い敵に効果的。
PROSPECT_DESC	当初は採掘探検用に設計されたプロスペクトには、さまざまな爆発系の武装が施されている。クローキング近接地雷を使って、油断している敵を罠にかけることが可能。
AEGIS_DESC	イージスは攻撃能力を持たない独特のヴァリアブルアーマーである。サポート役をこなし、味方の修復や強化が可能。
FARSIDE_DESC	背面に2門の大砲をマウントしたファーサイドは長距離砲撃に最適の機体である。ただし機動力の低さは難点。
INVADER_DESC	電子戦装備を搭載したインベーダーは、さまざまなステータス異常を仕掛けて混乱をもたらすことに特化している。
PATHFINDER_DESC	パスファインダーは移動力が高く、主に偵察に用いられる。スキャン能力によって敵の近接地雷を検知し、強制的に爆発させることができる。
SERPENS_DESC	鈍重さと引き換えに重武装・重装甲を備えるサーペンスは、敵軍の前進を阻む際によく用いられるパワフルなヴァリアブルアーマーである。
INSIGHT_DESC	インサイドの長射程ライフルによる高精度攻撃は、遮蔽物の防御効果を無視できる。
VANGUARD_DESC	攻撃範囲の限られるヴァンガードだが、優れた近接戦性能を示している。
ARBITER_DESC	アービターはイゾル・ルクマーンの専用機で、独自設計の第2世代ヴァリアブルアーマーである。サンクタムに開発されたこの機体は、中距離戦闘用に高出力キャノンと垂直ミサイルランチャーを装備している。
MAELSTROM_DESC	メイルストロムはヴィンセント・ユヴィールの専用機で、独自設計の第2世代ヴァリアブルアーマーである。ネサリスによってディアティと共に極秘裏に開発されたこの機体は、ディアティの長距離戦闘能力を補完することを目的としていた。近接戦闘用に設計されており、極近距離のエネルギー放出を行うエネルギー・ブレードを装備している。
DEITY_DESC	ディアティはルエラ・アウグシュタインの専用機で、独自設計の第2世代ヴァリアブルアーマーである。元々ネサリスによってメイルストロムと共に開発されたが、サム・マシューズによって盗み出されてルエラに贈られた。長距離精密ライフルと内蔵式ツインキャノンを装備している。
BULWARK_DESC	ブルワークはオーリエル・クルコフの専用機で、独自設計の第2世代ヴァリアブルアーマーである。クルコフ鉱業社がその帝国的な採掘利権を守るために開発したこの機体は、2基のエクスプローシブ・ランチャーと着脱式修理ドローンを装備している。
ROLE_TROOP	歩兵
ROLE_HEAVY_TROOP	重装歩兵
ROLE_GRENADIER	擲弾兵
ROLE_REPAIR_SUPPORT	支援
ROLE_ARTILLERY	砲兵
ROLE_SABOTEUR	破壊工作兵
ROLE_SCOUT	斥候
ROLE_SENTRY	歩哨
ROLE_SNIPER	狙撃手
ROLE_MELEE	乱戦
ROLE_COMMANDER	指揮官機
RANGE	範囲
COST	コスト
POWER	パワー
RECHARGE	リチャージ
TURNS	ターン
ATTACK_SKILL	攻撃スキル
SUPPORT_SKILL	サポートスキル
REPAIR_SKILL	修理スキル
TILES	タイル
GRASSLANDS	草地
ASTEROID_SURFACE	小惑星
ASTEROID_CRATER	クレーター
METAL_PLATING	金属表面
BARREN_GROUND	荒野
ROCKY_GROUND	岩場
CONCRETE	コンクリート
SNOW	雪原
FOREST	森林
DENSE_FOREST	密林
MOUNTAINS	山岳
CITY	市街
FACTORY	工場
FACILITY	施設
POWER_PLANT	パワープラント
ROAD	道路
AGRICULTURE	農地
DEBRIS	デブリ
MINING_EQUIPMENT	掘削機
PIPE	パイプ
GAS_CLOUD	ガス雲
STORAGE_SILO	貯蔵サイロ
ROCKS	岩場
WRECKAGE	残骸
MAP_NAME	名前
MAP_TYPE	タイプ
MAP_NAME_PLACEHOLDER	マップの名前を入力してください
MAP_SIZE	サイズ
MAP_SMALL	小
MAP_MEDIUM	中
MAP_LARGE	大
THEME	テーマ
MAP_CONDITIONS	状態
MAP_WEATHER	気候
SPACE	宇宙
PLANET	惑星
COLONY_INTERIOR	コロニー内部
INFO	情報
TOOLS	ツール
CURRENT_LAYER	現在のレイヤー
BASE	ベース
DETAIL	詳細
SPECIAL	特殊
NEW	新規
LOAD	ロード
EDIT	編集
SAVE	セーブ
APPLY	適用
DELETE	削除
MENU	メニュー
NEW_LOAD	新規 / ロード
EDITOR_MENU	編集メニュー
MAP_SETTINGS	マップの設定
MAP	マップ
EMPTY_SLOT	空のスロット - 新しいマップとして保存
LOAD_MAP	マップをロード
SAVE_MAP	マップを保存
SELECT_MAP	マップを選択
NEW_MAP_SETUP	新しいマップのセットアップ
CONFIGURE_YOUR_NEW_MAP	新しいマップを構成する
ENTER_A_NAME_FOR_YOUR_MAP	マップの名前を入力してください。
CREATE_MAP	マップを作成
LOADING_MAP	マップを読み込んでいます...
SAVING_MAP	マップを保存しています...
CREATING_NEW_MAP	新しいマップを作成中...
DELETE_MAP_CONFIRMATION	選択したマップを削除してもよろしいですか？\n削除したマップは復元できません。
MAP_LIMIT_REACHED	保存できるカスタムマップの上限数に達しました！\n新しいマップを保存するには、既存のマップを削除してスペースを確保する必要があります。
PAINT_TILE	ペイント
ERASE_TILE	消去
CHANGE_SELECTION	カーソルの移動
NAVIGATE	ナビゲート
MAPS	マップ
PREVIEW	プレビュー
MAP_SAVED	マップを保存しました
MAP_LOADED	マップをロードしました
MAP_CONDITION_STANDARD	ノーマル
MAP_CONDITION_EVENING	夜
MAP_CONDITION_STORMY	嵐
MAP_WEATHER_CLEAR	晴れ
MAP_WEATHER_RAIN	雨
MAP_WEATHER_SNOW	雪
YOU_MUST_PLACE_START_POSITIONS_FOR_BOTH_PLAYERS	両方のプレイヤーの開始位置が必要です。
NO_PATH_BETWEEN_PLAYER_START_POSITIONS	各プレイヤーのスタート位置の経路がありません。\n開始位置の間には到達可能な経路が必要です。
REMOVED_UNTRAVERSABLE_COMPONENT	開始位置から到達できないコンポーネントを削除しました。
TRAITS	特性
COMMANDER_OVERVIEW	コマンダーの概要
PROFILE	プロフィール
COMMANDER_NAME	名前
AFFILIATION	所属
SPECIALITY	特化技能
COMMANDER_POWER_TITLE	コマンダースキル
BIOGRAPHY	プロファイル
YOUR_COMMANDER	自軍コマンダー
ENEMY_COMMANDER	敵軍コマンダー
HIDDEN_Q_MARKS	????????
TRAIT_NOT_AVAILABLE	この特性は現在利用できません。
LOCKED	ロックされています
INACTIVE	非アクティブ
COMMANDER_TRAIT	コマンダー特性
LUELLA_AUGSTEIN_POWER_1	まだまだこれから！
LUELLA_AUGSTEIN_POWER_2	そんなものなの？　かかって来なよ！
LUELLA_AUGSTEIN_POWER_3	あたしの相手をするなら、もっと強くなきゃ！
LUELLA_AUGSTEIN_POWER_4	相手を侮ってたかもしれないな。でも、まだやれる！
LUELLA_AUGSTEIN_DEPLOY_1	ようやく出番か！　ルエラ・アウグシュタインとディアティ、出るよ！
